"","ID","SPAD_June_2022","SPAD_July_2022","SPAD_aug_2022","SPAD_sep_2022","SPAD_July_2023","SPAD_Aug_2023","SPAD_Sep_2023","avg_SPAD","row","column"
"189","LCOR-372",33.76666667,33.66666667,40.43333333,43.6,26.2,22.7,30.2,32.9380952385714,12,16
"190","LCOR-105",32.13333333,33.8,39.5,46.06666667,25.8,27.2,30.3,33.5428571428571,13,16
"191","LCOR-352",32.26666667,24.73333333,36.83333333,45.46666667,24.6,24.6,23.8,30.3285714285714,14,16
"192","LCOR-614",32.83333333,27.66666667,34,46.33333333,29.3,29.2,21.6,31.5619047614286,15,16
"194","LCOR-016",34.23333333,29.06666667,40.33333333,42.26666667,31.8,28.6,23.9,32.8857142857143,2,17
"195","LCOR-132",31.56666667,32.56666667,37.4,41.9,30.4,25.2,26.2,32.1761904771429,3,17
"196","LCOR-574",32.36666667,33.16666667,35.06666667,44.46666667,30.6,19.3,24.2,31.3095238114286,4,17
"197","LCOR-079",28.16666667,35.46666667,38.73333333,42.6,29.8,24.3,26.5,32.2238095242857,5,17
"198","LCOR-458",30.63333333,30.23333333,40.23333333,41.83333333,27.5,30.6,24.3,32.1904761885714,6,17
"199","LCOR-411",35.23333333,24.03333333,33.83333333,41.5,28.2,29.3,25.8,31.1285714271429,7,17
"200","LCOR-394",33.36666667,29.26666667,39.73333333,42.5,29.1,25.5,24.3,31.9666666671429,8,17
"201","LCOR-275",31.9,26.56666667,33,42.86666667,27.7,21.2,18.2,28.7761904771429,9,17
"204","LCOR-134",26.6,32.6,43.2,42.33333333,26.0488584474886,26.0488584474886,26.9751708428246,31.9723172954003,12,17
"205","LCOR-502",27.73333333,33.46666667,43.53333333,43.76666667,30.1,22,28.1,32.6714285714286,13,17
"206","LCOR-481",32.7,32.66666667,41.33333333,42.76666667,28.6,17.2,21,30.8952380957143,14,17
"207","LCOR-271",35.86666667,33.23333333,31.3,47.33333333,24.5,24.4,24.6,31.6047619042857,15,17
"209","LCOR-058",33.16666667,30.56666667,40.03333333,45.8,29.3,25.7,26.9,33.0666666671429,2,18
"210","LCOR-052",29.7,31.03333333,39.16666667,40.5,27.4,17.1,29.2,30.5857142857143,3,18
"211","LCOR-475",29.13333333,28.83333333,40.66666667,45.16666667,26.5,24.7,24.9,31.4142857142857,4,18
"212","LCOR-085",31.7,24.73333333,37.93333333,41.9,28.2,16,26.5,29.5666666657143,5,18
"213","LCOR-351",30.9,31.43333333,39.33333333,46.56666667,29.8,21.9,25.8,32.2476190471429,6,18
"214","LCOR-306",33.56666667,31.4,41.6,40.03333333,26.9,23.9,25.7,31.8714285714286,10,18
"215","LCOR-392",32.3,30.66666667,42.96666667,42.26666667,35.2,28,29.4,34.4000000014286,11,18
"216","LCOR-243",32.36666667,31.33333333,37.26666667,45.13333333,30.7,18,22.6,31.0571428571429,12,18
"217","LCOR-572",31.73333333,36.3,38.16666667,44.3,27.5,23.3,22.2,31.9285714285714,13,18
"218","LCOR-463",31.8,28.8,40.9,47.5,28.2,19.2,22.1,31.2142857142857,14,18
"219","LCOR-260",35.76666667,30.03333333,37.4,43.96666667,29.7,28.4,25.4,32.9523809528571,15,18
"221","LCOR-406",29.7,26.5,36.26666667,38.53333333,26.0488584474886,26.0488584474886,26.9751708428246,30.0104125339717,3,19
"222","LCOR-089",30.86666667,23.03333333,39.06666667,46.16666667,26.0488584474886,26.0488584474886,22.2,30.4901500335682,4,19
"223","LCOR-491",30.4,27.93333333,38.26666667,43.56666667,27.3,23.1,22.9,30.4952380957143,5,19
"225","LCOR-585",32.66666667,31.4,48.4,40.2,29.2,18.8,23.1,31.9666666671429,7,19
"226","LCOR-554",34.46666667,30.06666667,40.56666667,42.83333333,30.3,21.3,28.2,32.5333333342857,8,19
"227","LCOR-152",28.13333333,32.1,39.4,42.36666667,32.5,25.9,24.5,32.1285714285714,9,19
"228","LCOR-558",30.7,31.26666667,40.36666667,42.9,31.1,25.2,23,32.0761904771429,10,19
"229","LCOR-138",30.8,30.06666667,37.93333333,46.53333333,27.3,20.1,23.6,30.9047619042857,11,19
"230","LCOR-383",32.46666667,28.73333333,33.36666667,43.53333333,24.8,19.1,26.2,29.7428571428571,12,19
"231","LCOR-568",34.93333333,29.5,27.83333333,45.66666667,32.5,20.1,21,30.2190476185714,13,19
"232","LCOR-080",32.2,25.56666667,33.9,43.4,30.7,18.6,22.5,29.5523809528571,14,19
"233","LCOR-391",28.53333333,30.83333333,41.23333333,41.2,28.3,25.6,25.4,31.5857142842857,15,19
"235","LCOR-162",34.93333333,28.93333333,43,46.16666667,19.2,25.1,27.5,32.1190476185714,2,20
"236","LCOR-242",29.3,30.5,43.23333333,42.06666667,21.6,29,29.5,32.1714285714286,3,20
