row,column,ID,DBH,Height,event,construct,Comments,
6,53,LCOR-566,17,8.3,LC-102 5C,LC102,,
7,53,LCOR-097,14,7.4,LC-102 8-9D,LC102,,
8,53,LCOR-1194,,,NA,wt,,
9,53,LCOR-592,14,6.75,CT717 1,CT717,,
10,53,LCOR-451,18,8.55,LC-102 2H,LC102,,
11,53,LCOR-597,14.5,7.4,CT717 1,CT717,,
12,53,LCOR-1031,11,6.05,NA,wt,,
13,53,LCOR-050,12,6.6,LC-102 1,LC102,,
14,53,LCOR-444,14,6.85,LC-102 1,LC102,,
15,53,LCOR-1032,11.5,5.8,NA,wt,,
16,53,LCOR-1208,,,NA,wt,,
1,54,LCOR-1074,,,NA,wt,,
2,54,LCOR-590,8,4.1,CT717 1,CT717,,
3,54,LCOR-038,17.5,7.4,LC-102 5C,LC102,,
4,54,LCOR-1038,11,4.35,NA,wt,,
