Name,,,,,,
Date,,,,,,
dbh in mm @ 6in,,,,,,
height in feet (incremented in tenths),,,,,,
,,,,,,
row,column,ID,DBH,Height,Comments,Updated Growth 5/9
8,46,LCOR-311,19.35,8.48,,
9,46,LCOR-523,17.64,7.81,,
10,46,LCOR-432,20.68,9.52,,
11,46,LCOR-025,28.42,12.55,,
12,46,LCOR-538,25.45,10.98,,
13,46,LCOR-102,25.59,10.69,,
14,46,LCOR-155,24.08,10.97,,
15,46,LCOR-490,13.33,7.12,,
16,46,LCOR-1255,,,,
1,47,LCOR-1079,,,,
2,47,LCOR-374,19.04,7.78,,
3,47,LCOR-521,12.37,5.93,,
4,47,LCOR-232,22.27,10.32,,
5,47,LCOR-315,40.04,14.45,,
6,47,LCOR-419,23.13,10.95,,
7,47,LCOR-365,19.43,9.32,,
8,47,LCOR-480,15.45,7.05,,
9,47,LCOR-433,23.77,10.65,,
10,47,LCOR-453,16.94,7.41,,
11,47,LCOR-223,7.24,3.75,,
12,47,LCOR-359,,,,dead
13,47,LCOR-216,14.06,7.09,,
14,47,LCOR-159,21.97,10.69,,
15,47,LCOR-426,14.65,7.32,,
16,47,LCOR-1068,,,,
1,48,LCOR-1083,,,,
2,48,LCOR-113,35.26,10.14,,
3,48,LCOR-505,30.57,11.91,,
4,48,LCOR-153,25.07,11.81,,
5,48,LCOR-336,21.51,10.3,,
6,48,LCOR-412,23.83,9.55,,
7,48,LCOR-509,19.91,9.38,,
8,48,LCOR-549,17.74,9.17,,
9,48,LCOR-466,9.58,4.98,,
10,48,LCOR-547,8.25,4.23,,
11,48,LCOR-598,17.69,8.51,,
12,48,LCOR-464,21.67,10.67,,
13,48,LCOR-555,7.42,7.51,,
14,48,LCOR-189,18.5,8.31,,
15,48,LCOR-447,13.58,7.09,,
16,48,LCOR-1170,,,,
1,49,LCOR-1113,,,,
2,49,LCOR-1172,,,,
3,49,LCOR-270,17.05,7.91,,
4,49,LCOR-114,9.05,4.57,,
5,49,LCOR-591,15.8,7.55,,
6,49,LCOR-029,21.2,9.74,,
