row,column,ID,Caliper,DBH,Height
4,12,LCOR-364,28.87,20.84,14.3
5,12,LCOR-277,46.99,30.96,20.3
7,12,LCOR-111,38.45,30.65,17.2
8,12,LCOR-303,30.7,23.43,14.6
9,12,LCOR-588,34.14,25.43,16.1
10,12,LCOR-561,38.26,29.15,16.6
11,12,LCOR-035,32.87,24.18,14.9
12,12,LCOR-241,38.78,29.2,16.6
13,12,LCOR-218,28.2,18.27,14.3
14,12,LCOR-002,19.44,13.96,10.1
15,12,LCOR-026,33.39,23.75,14.7
2,13,LCOR-066,25.32,16.6,11.9
3,13,LCOR-423,30.14,22.41,14.5
4,13,LCOR-200,37.5,27.74,15.9
6,13,LCOR-137,34.16,25.36,15.6
7,13,LCOR-338,45.45,34.89,16.4
8,13,LCOR-544,29.76,21.04,13.9
9,13,LCOR-320,38.02,28.84,16
10,13,LCOR-077,45.89,33.81,20.1
12,13,LCOR-088,35.32,25.97,15.2
13,13,LCOR-030,37.33,28.84,17.3
14,13,LCOR-156,33.96,24.34,14.8
15,13,LCOR-051,22.83,19.61,12.1
